Timestamp;MoveID;SelectedColor;Score;FreeSlots;UnblockValue;TargetBus;Status
13:41:58;1;RGBA(0.055, 0.218, 0.753, 0.000);20000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
13:41:58;2;RGBA(0.055, 0.218, 0.753, 0.000);20000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
13:41:59;3;RGBA(0.055, 0.218, 0.753, 0.000);20000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
13:42:00;4;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:00;5;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:00;6;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:01;7;RGBA(0.755, 0.055, 0.055, 0.000);20000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
13:42:02;8;RGBA(0.755, 0.055, 0.055, 0.000);20000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
13:42:02;9;RGBA(0.755, 0.055, 0.055, 0.000);20000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
13:42:03;10;RGBA(0.055, 0.218, 0.753, 0.000);20000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
13:42:03;11;RGBA(0.055, 0.218, 0.753, 0.000);20000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
13:42:04;12;RGBA(0.055, 0.218, 0.753, 0.000);20000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
13:42:05;13;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:05;14;RGBA(0.085, 0.753, 0.055, 0.000);1000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:06;15;RGBA(0.085, 0.753, 0.055, 0.000);1000,00;4;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:06;16;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;3;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:06;17;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;3;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:07;18;RGBA(0.085, 0.753, 0.055, 0.000);20000,00;5;0,00;RGBA(0.085, 0.753, 0.055, 0.000);Executed
13:42:09;19;RGBA(0.755, 0.055, 0.055, 0.000);20000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
13:42:09;20;RGBA(0.755, 0.055, 0.055, 0.000);20000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
13:42:09;21;RGBA(0.755, 0.055, 0.055, 0.000);20000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
13:42:10;22;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:11;23;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:11;24;RGBA(0.753, 0.055, 0.736, 0.000);20000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
13:42:12;25;RGBA(0.968, 1.000, 0.000, 0.000);20000,00;5;0,00;RGBA(0.968, 1.000, 0.000, 0.000);Executed
13:42:12;26;RGBA(0.968, 1.000, 0.000, 0.000);20000,00;5;0,00;RGBA(0.968, 1.000, 0.000, 0.000);Executed
13:42:13;27;RGBA(0.968, 1.000, 0.000, 0.000);20000,00;5;0,00;RGBA(0.968, 1.000, 0.000, 0.000);Executed
13:42:14;28;RGBA(0.753, 0.055, 0.736, 0.000);1000,00;5;0,00;RGBA(0.085, 0.753, 0.055, 0.000);Executed
13:42:14;29;RGBA(0.085, 0.753, 0.055, 0.000);20000,00;4;0,00;RGBA(0.085, 0.753, 0.055, 0.000);Executed
13:42:14;30;RGBA(0.085, 0.753, 0.055, 0.000);20000,00;4;0,00;RGBA(0.085, 0.753, 0.055, 0.000);Executed
13:42:15;31;RGBA(0.085, 0.753, 0.055, 0.000);20000,00;4;0,00;RGBA(0.085, 0.753, 0.055, 0.000);Executed
13:42:16;32;RGBA(0.969, 0.619, 0.143, 0.000);20000,00;4;0,00;RGBA(0.969, 0.619, 0.143, 0.000);Executed
13:42:16;33;RGBA(0.753, 0.055, 0.736, 0.000);1000,00;4;0,00;RGBA(0.969, 0.619, 0.143, 0.000);Executed
13:42:16;34;RGBA(0.969, 0.619, 0.143, 0.000);20000,00;3;0,00;RGBA(0.969, 0.619, 0.143, 0.000);Executed
